"","abelmoschus","acacia","acalypha","acer","actinidia","aesculus","agropyron","albizia","allium","alnus","amaranthus","anacardium","ananas","annona","anthurium","apium","arachis","areca","artemisia","artocarpus","asparagus","avena","averrhoa","bambusa","bauhinia","berberis","beta","betula","brassica","bromus","cajanus","calophyllum","camellia","capsicum","carica","carya","cassia","castanea","casuarina","chamaecyparis","chenopodium","chrysanthemum","chrysophyllum","cicer","cichorium","cinnamomum","citrullus","citrus","clerodendrum","cocos","codiaeum","coffea","colocasia","convolvulus","corchorus","corylus","crataegus","crotalaria","croton","cucumis","cucurbita","cycas","cydonia","cynara","cynodon","cyperus","dahlia","datura","daucus","dianthus","digitaria","dimocarpus","dioscorea","diospyros","dracaena","echinochloa","elaeis","eleusine","elymus","eriobotrya","erythrina","eucalyptus","eugenia","euonymus","euphorbia","fagus","festuca","ficus","fortunella","fragaria","fraxinus","garcinia","gardenia","gladiolus","glycine","gossypium","hedera","helianthus","hemerocallis","hevea","hibiscus","hordeum","humulus","ilex","ipomoea","jasminum","juglans","juniperus","lactuca","lagerstroemia","lantana","lathyrus","lens","leucaena","ligustrum","linum","litchi","lolium","lonicera","lotus","luffa","lupinus","lycopersicon","macadamia","magnolia","malus","mangifera","manihot","manilkara","medicago","melia","mentha","momordica","morus","murraya","musa","nephelium","nerium","nicotiana","ocimum","olea","opuntia","oryza","panicum","paspalum","passiflora","pelargonium","pennisetum","persea","petunia","phaseolus","phoenix","physalis","pieris","piper","pistacia","pisum","pittosporum","plantago","platanus","plumeria","poa","polygonum","poncirus","populus","pouteria","prunus","psidium","pueraria","punica","pyrus","quercus","raphanus","rhamnus","rhododendron","rhus","ribes","ricinus","robinia","rosa","rubus","rumex","saccharum","salix","salvia","secale","senecio","setaria","sida","solanum","sonchus","sorbus","sorghum","spinacia","spondias","syringa","syzygium","tectona","terminalia","theobroma","tilia","trifolium","triticum","ulmus","urtica","vaccinium","viburnum","vicia","vigna","vitis","zea","zinnia","ziziphus"
"Mite2500",0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,1,0,0,0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,1,0,0,0,NA,0,0,1,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,1,0,NA,NA,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,0,1,0,0
"Mite1422",NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,0,1,NA,0,0,0,1,0,NA,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0
"Mite1423",NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,1,0,0
"Mite2487",0,0,0,0,0,NA,NA,1,0,0,NA,0,NA,0,0,NA,NA,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,1,0,0,NA,0,0,1,NA,0,0,NA,1,0,0,1,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0
"Mite1424",0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,1,NA,0,0,0,NA,NA,1,0,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,NA,1,0,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,0,NA,0,0,0,0,1,0,0,0,0,NA,NA,0,0,0,1,1,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,1,0,0,NA,0,0,1,NA,NA,NA,0,NA,1,0,0,NA,0,NA,0,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,1,0,0,0,0,0,0,NA,1,NA,0,NA,0,0,NA,0,0,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,0
"Mite2489",NA,0,NA,0,0,NA,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,NA,1,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,1,0,NA,0,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,1,0,0
"Mite2458",0,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,1,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA
"Mite1425",0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,1,NA,0,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,NA,0,0,1,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,NA,0,1,NA,0
"Mite1390",NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,1,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,1,NA,0,1,NA,0,NA,NA,0,NA,NA,0,NA,0,0,1,NA,0,0,0,1,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,1,0,0,NA,NA,1,0,1,0,NA,0,0,0,0,0,NA,1,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA
"Mite2517",0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,NA,0,0,1,0,0,NA,0,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0
"Mite2465",0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,1,0,0,0,0,0,0,NA,1,NA,0,0,0,NA,0,NA,NA,NA,0,NA,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,1,0,0,NA,0,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,NA,0,0,NA,NA,0,0
"Mite2479",0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,1,NA,0,NA,0,0,NA,0,NA,NA,1,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,1,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA
"Mite2401",0,0,NA,1,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,NA,NA,1,1,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,NA,1,0,0,NA,1,1,0,0,0,0,NA,0,NA,0,NA,1,1,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,0
"Mite2453",NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,1,0,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,NA,1,0,0,0,0,0,0,0,0,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,1,0
"Mite2455",0,NA,0,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,1,NA,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,0,NA,1,0,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0
"Mite2466",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,1,0,0,NA,0,NA,0,NA,NA,NA,0,1,0,0,NA,0,1,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,1,0,0,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,0,NA
"Mite2493",NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,0,0,0
"Mite2494",0,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,1,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,0,0,0
"Mite2045",0,NA,0,NA,0,0,1,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,1,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,1,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,NA,0,0
"Mite2462",0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0,1,NA,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,NA,0,0,1,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,1,NA,0,0,NA,0,0,0,0,1,0,0,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,1,0,NA,NA,NA,0,NA,0,1,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,1,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0
"Mite2481",0,0,0,0,0,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,1,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,0,0,1,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,NA
"Mite2488",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,0,0,1,0,1,0,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,1,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,1,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Mite2449",0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,0,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,NA,0,NA,0,NA,NA,0,0,NA,0,NA,1,NA,0,0,0,NA,1,0,0,NA,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Mite1564",0,0,1,0,NA,0,0,NA,0,NA,NA,0,0,0,1,NA,1,NA,0,1,0,0,1,NA,0,NA,0,0,0,0,0,NA,1,1,1,0,NA,NA,NA,0,1,1,NA,0,0,0,1,1,0,NA,1,0,1,0,NA,1,NA,0,0,1,1,0,0,NA,0,NA,1,0,0,1,0,NA,1,0,1,0,0,0,0,NA,NA,0,0,0,1,0,0,1,0,1,NA,NA,1,0,1,NA,0,1,NA,0,0,NA,1,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,1,0,1,0,1,0,0,NA,1,1,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,0,0,NA,1,0,0,0,0,0,NA,NA,NA,1,NA,0,NA,1,0,NA,0,0,NA,1,NA,0,0,NA,NA,NA,0,1,1,NA,NA,0,0,0,NA,0,0,NA,0,1,1,NA,0
"Mite2452",1,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,1,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,1,0,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,1,0,0,1,NA,0,0,NA,NA,0,1,1,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,1,NA,0,NA,0,1,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,NA,0,0,1,NA,1,0,0,NA,0,0,1,NA,1,0,0,1,NA,0,NA,0,1,0,0,NA,0,0,NA,1,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,1,0,0,1,0,1,0,NA,1,0,0,NA,0,0,0,0,0,1,1,0,NA,0,0,0,1,1,1,NA,0,0,NA,NA,0,0,NA,0,NA,NA,1,0,0,0,NA,0,1,0,0,NA,0,0
